date,isin,ratio_old,ratio_new
2022/6/6,US0231351067,20,1
2022/7/18,US02079K3059,20,1
2022/7/22,US36467W1099,4,1
2022/8/25,US88160R1014,3,1
2022/8/29,US6311031081,3,1
2023/9/13,DK0062498333,2,1
2023/9/20,US6701002056,2,1
2024/2/26,US9311421039,3,1
2024/6/10,US67066G1040,10,1
2024/7/15,US11135F1012,10,1
2025/11/17,US64110L1061,10,1
2024/9/30,US7835132033,5,2
2025/10/3,US36467W1099,11,10
2024/1/29,GB00BMWC6P49,10,11
2024/1/9,GB00BLFHRK18,1,137523
